@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
59.702,42.644,31.366,28.337,55.501,71.466,72.874,56.848,1.288,53.000,Nascido
57.587,43.207,31.342,26.246,54.661,70.294,72.059,56.291,1.286,54.200,Nascido
55.453,41.410,28.867,26.587,47.901,64.420,66.405,49.791,1.345,48.200,Nascido
59.020,42.695,31.402,27.619,54.222,70.376,72.341,56.332,1.298,56.600,Nascido
59.207,43.859,30.503,28.705,56.314,72.019,74.947,59.635,1.279,56.300,Nascido
60.701,45.352,32.742,27.958,64.477,78.726,79.638,65.372,1.221,60.000,Morreu
60.848,43.174,31.838,29.011,56.444,72.421,75.081,59.388,1.283,55.400,Nascido
62.223,46.818,32.157,30.068,60.288,80.998,84.392,71.414,1.344,64.600,Nascido
58.709,42.587,33.738,24.973,52.466,69.149,71.898,55.754,1.318,54.200,Nascido
57.991,45.659,30.284,27.709,61.776,75.932,77.574,63.303,1.229,56.400,Nascido
57.360,43.281,31.174,26.189,54.982,70.705,71.997,56.264,1.286,53.000,Nascido
60.950,44.080,33.765,27.185,59.898,75.207,77.158,62.010,1.256,60.300,Nascido
55.140,42.993,28.297,26.845,49.652,67.100,69.277,53.367,1.351,51.700,Nascido
59.332,45.502,32.443,26.889,60.446,75.239,78.607,64.321,1.245,57.600,Nascido
58.052,43.422,29.042,29.011,53.324,70.384,72.916,57.312,1.320,54.100,Nascido
56.129,43.357,29.325,26.805,54.269,69.503,70.958,55.249,1.281,51.600,Nascido
55.796,43.485,29.136,26.662,54.265,69.799,70.900,55.244,1.286,52.200,Nascido
56.045,41.988,28.907,27.139,50.738,67.020,68.099,51.735,1.321,51.500,Nascido
59.789,44.961,29.905,29.885,60.921,75.810,77.859,63.285,1.244,60.200,Nascido
58.521,44.212,30.884,27.638,56.965,72.395,75.035,59.897,1.271,54.600,Nascido
57.555,43.951,29.042,28.513,55.267,71.116,73.539,58.214,1.287,56.300,Nascido
58.544,43.599,30.139,28.407,56.623,72.172,73.761,58.270,1.275,55.700,Nascido
59.378,44.801,31.945,27.434,60.044,75.034,77.136,62.404,1.250,59.500,Nascido
55.069,42.260,28.408,26.662,49.528,65.888,67.741,51.496,1.330,50.400,Nascido
57.764,41.581,30.177,27.588,46.363,65.302,68.869,52.294,1.408,53.300,Nascido
60.816,46.187,31.029,29.787,66.215,80.056,81.550,67.929,1.209,60.400,Nascido
62.120,44.278,31.197,30.924,62.801,77.735,78.682,63.770,1.238,60.500,Nascido
60.971,45.739,32.030,28.941,64.979,79.241,80.735,66.786,1.219,60.100,Nascido
62.466,44.785,34.397,28.069,61.006,77.214,80.177,65.602,1.266,62.000,Nascido
57.372,45.012,28.827,28.545,58.454,73.434,75.580,60.863,1.256,54.300,Nascido
58.931,45.850,30.724,28.207,61.730,76.276,78.922,64.867,1.236,59.500,Nascido
59.251,44.443,29.867,29.385,58.776,73.939,76.223,61.279,1.258,59.900,Morreu
58.252,44.193,29.385,28.867,57.375,72.678,74.721,59.570,1.267,56.500,Nascido
57.803,43.671,29.042,28.762,56.818,72.325,73.195,57.722,1.273,55.300,Nascido
56.639,42.097,29.816,26.824,50.144,66.211,68.877,52.556,1.320,50.000,Nascido
60.452,46.409,31.601,28.851,65.457,79.349,81.675,68.173,1.212,61.700,Nascido
57.367,44.355,29.664,27.705,57.457,72.679,74.204,59.095,1.265,55.400,Nascido
56.561,41.155,28.513,28.049,48.846,65.595,66.901,50.162,1.343,50.000,Nascido
57.216,43.362,29.977,27.240,54.515,70.359,72.002,56.330,1.291,54.200,Morreu
54.488,44.953,30.013,24.477,55.324,70.470,72.680,57.655,1.274,54.000,Nascido
56.363,42.534,28.456,27.909,50.839,67.151,69.495,53.392,1.321,50.500,Nascido
57.385,44.054,30.226,27.161,57.580,72.800,73.602,58.315,1.264,54.700,Nascido
57.835,43.756,31.423,26.413,55.535,71.222,73.435,57.980,1.282,55.400,Nascido
59.927,43.058,31.471,28.456,56.346,72.290,73.955,58.173,1.283,55.700,Nascido
59.175,43.381,30.101,29.075,57.056,72.409,73.906,58.309,1.269,57.500,Nascido
59.264,42.646,30.503,28.762,55.160,71.008,72.455,56.435,1.287,56.800,Nascido
57.124,44.233,28.579,28.545,54.063,70.775,73.709,58.521,1.309,58.100,Nascido
58.861,44.448,30.598,28.265,58.216,73.335,75.859,60.890,1.260,55.500,Nascido
59.294,44.913,29.756,29.539,61.478,76.191,77.267,62.628,1.239,61.200,Nascido
58.271,44.462,30.634,27.638,58.096,73.234,75.316,60.317,1.261,57.200,Nascido
57.720,44.752,28.983,28.737,58.787,73.558,75.375,60.527,1.251,56.400,Nascido
54.894,42.285,27.958,26.936,49.988,65.970,67.625,51.391,1.320,49.800,Nascido
62.827,43.026,31.537,31.290,59.789,75.583,76.653,60.899,1.264,55.100,Morreu
60.874,44.278,31.174,29.702,60.923,76.020,77.463,62.492,1.248,57.300,Nascido
59.702,44.159,32.116,27.587,58.437,73.625,76.084,60.959,1.260,57.200,Nascido
61.344,44.696,31.806,29.539,60.849,76.021,78.831,64.168,1.249,59.900,Nascido
60.819,43.713,31.760,29.062,58.204,73.240,76.204,60.853,1.258,57.700,Nascido
55.719,44.943,28.867,26.852,57.855,72.679,73.819,58.928,1.256,55.400,Nascido
57.485,42.677,29.617,27.868,53.243,69.199,70.841,54.820,1.300,54.000,Nascido
